dataset,neuron,mean,cov,mean_std,cov_std,mean_0,cov_0,jitter_0,loc_0,jitter,loc,jitter_std,loc_std,single_trial_correlation,cell_id
Dataset 05,0,[nan nan],"[[-0.01 -0.01]
 [-0.02 -0.01]]",[nan nan],"[[0.03 0.01]
 [0.03 0.03]]",[nan nan],"[[-0.07 -0.03]
 [-0.08 -0.06]]",[0.01 0.01],[nan nan],[0. 0.],[nan nan],[0. 0.],[nan nan],0.0,LPE10885_2023_10_20_4_0000
Dataset 05,1,[nan nan],"[[-0.01  0.01]
 [-0.02 -0.01]]",[nan nan],"[[0.03 0.01]
 [0.04 0.02]]",[nan nan],"[[-0.07  0.03]
 [-0.09 -0.05]]",[-0.02 -0.05],[nan nan],[-0.   -0.01],[nan nan],[0.01 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0001
Dataset 05,2,[nan nan],"[[ 0.01 -0.01]
 [ 0.02  0.02]]",[nan nan],"[[0.03 0.01]
 [0.04 0.04]]",[nan nan],"[[ 0.07 -0.03]
 [ 0.11  0.11]]",[0.02 0.  ],[nan nan],[0. 0.],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0002
Dataset 05,3,[nan nan],"[[-0.01 -0.02]
 [ 0.01  0.02]]",[nan nan],"[[0.01 0.03]
 [0.03 0.04]]",[nan nan],"[[-0.04 -0.09]
 [ 0.06  0.1 ]]",[-0.03 -0.01],[nan nan],[-0.01 -0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0003
Dataset 05,4,[nan nan],"[[ 0.02 -0.  ]
 [ 0.01 -0.02]]",[nan nan],"[[0.05 0.01]
 [0.02 0.04]]",[nan nan],"[[ 0.12 -0.02]
 [ 0.06 -0.1 ]]",[0.02 0.03],[nan nan],[0.   0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0004
Dataset 05,5,[nan nan],"[[ 0.02 -0.01]
 [-0.    0.03]]",[nan nan],"[[0.04 0.02]
 [0.   0.05]]",[nan nan],"[[ 0.1  -0.06]
 [-0.    0.13]]",[0.03 0.02],[nan nan],[0.01 0.  ],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0005
Dataset 05,6,[nan nan],"[[ 0.02 -0.02]
 [-0.02 -0.02]]",[nan nan],"[[0.03 0.04]
 [0.03 0.03]]",[nan nan],"[[ 0.08 -0.1 ]
 [-0.08 -0.08]]",[-0.03  0.03],[nan nan],[-0.01  0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0006
Dataset 05,7,[nan nan],"[[-0.01 -0.02]
 [ 0.03  0.01]]",[nan nan],"[[0.02 0.03]
 [0.05 0.02]]",[nan nan],"[[-0.05 -0.08]
 [ 0.14  0.04]]",[0.02 0.05],[nan nan],[0.   0.01],[nan nan],[0.01 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0007
Dataset 05,8,[nan nan],"[[ 0.01  0.  ]
 [-0.01 -0.02]]",[nan nan],"[[0.02 0.  ]
 [0.02 0.04]]",[nan nan],"[[ 0.04  0.01]
 [-0.06 -0.09]]",[0.05 0.02],[nan nan],[0.01 0.  ],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0008
Dataset 05,9,[nan nan],"[[ 0.02 -0.01]
 [-0.01  0.02]]",[nan nan],"[[0.04 0.02]
 [0.03 0.05]]",[nan nan],"[[ 0.1  -0.05]
 [-0.07  0.12]]",[-0.    0.05],[nan nan],[-0.    0.01],[nan nan],[0.   0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0009
Dataset 05,10,[nan nan],"[[-0.    0.  ]
 [-0.   -0.03]]",[nan nan],"[[0.01 0.  ]
 [0.01 0.05]]",[nan nan],"[[-0.02  0.01]
 [-0.02 -0.13]]",[0.05 0.04],[nan nan],[0.01 0.01],[nan nan],[0.02 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0010
Dataset 05,11,[nan nan],"[[-0.01 -0.02]
 [-0.03 -0.  ]]",[nan nan],"[[0.03 0.04]
 [0.05 0.  ]]",[nan nan],"[[-0.07 -0.09]
 [-0.13 -0.  ]]",[-0.   -0.03],[nan nan],[-0.   -0.01],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0011
Dataset 05,12,[nan nan],"[[ 0.02 -0.01]
 [-0.02 -0.01]]",[nan nan],"[[0.04 0.02]
 [0.04 0.02]]",[nan nan],"[[ 0.1  -0.06]
 [-0.11 -0.05]]",[-0.   -0.02],[nan nan],[-0. -0.],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0012
Dataset 05,13,[nan nan],"[[0.02 0.01]
 [0.02 0.02]]",[nan nan],"[[0.05 0.02]
 [0.04 0.05]]",[nan nan],"[[0.12 0.04]
 [0.1  0.12]]",[ 0.01 -0.  ],[nan nan],[ 0. -0.],[nan nan],[0. 0.],[nan nan],0.0,LPE10885_2023_10_20_4_0013
Dataset 05,14,[nan nan],"[[-0.    0.  ]
 [-0.   -0.01]]",[nan nan],"[[0.01 0.01]
 [0.01 0.02]]",[nan nan],"[[-0.02  0.02]
 [-0.02 -0.04]]",[-0.05 -0.03],[nan nan],[-0.01 -0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0014
Dataset 05,15,[nan nan],"[[-0.    0.01]
 [ 0.02 -0.03]]",[nan nan],"[[0.01 0.01]
 [0.04 0.05]]",[nan nan],"[[-0.01  0.03]
 [ 0.11 -0.13]]",[ 0.03 -0.01],[nan nan],[ 0.01 -0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0015
Dataset 05,16,[nan nan],"[[-0.01 -0.01]
 [ 0.02  0.  ]]",[nan nan],"[[0.02 0.01]
 [0.03 0.01]]",[nan nan],"[[-0.04 -0.03]
 [ 0.08  0.02]]",[-0.03 -0.01],[nan nan],[-0.01 -0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0016
Dataset 05,17,[nan nan],"[[0.01 0.01]
 [0.   0.02]]",[nan nan],"[[0.03 0.01]
 [0.   0.04]]",[nan nan],"[[0.07 0.03]
 [0.01 0.11]]",[-0.03 -0.03],[nan nan],[-0.01 -0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0017
Dataset 05,18,[nan nan],"[[ 0.03  0.01]
 [-0.02 -0.02]]",[nan nan],"[[0.05 0.02]
 [0.04 0.03]]",[nan nan],"[[ 0.13  0.06]
 [-0.09 -0.08]]",[-0.04  0.04],[nan nan],[-0.01  0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0018
Dataset 05,19,[nan nan],"[[ 0.01  0.02]
 [-0.02  0.  ]]",[nan nan],"[[0.03 0.03]
 [0.05 0.  ]]",[nan nan],"[[ 0.07  0.09]
 [-0.12  0.  ]]",[0.01 0.05],[nan nan],[0.   0.01],[nan nan],[0.   0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0019
Dataset 05,20,[nan nan],"[[ 0.02 -0.02]
 [ 0.02  0.02]]",[nan nan],"[[0.03 0.04]
 [0.04 0.03]]",[nan nan],"[[ 0.09 -0.1 ]
 [ 0.11  0.09]]",[-0.01  0.02],[nan nan],[-0.  0.],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0020
Dataset 05,21,[nan nan],"[[ 0.01  0.01]
 [ 0.02 -0.  ]]",[nan nan],"[[0.01 0.01]
 [0.04 0.01]]",[nan nan],"[[ 0.03  0.03]
 [ 0.1  -0.02]]",[-0.   -0.03],[nan nan],[-0.   -0.01],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0021
Dataset 05,22,[nan nan],"[[-0.02  0.02]
 [ 0.02 -0.02]]",[nan nan],"[[0.04 0.04]
 [0.05 0.04]]",[nan nan],"[[-0.09  0.11]
 [ 0.12 -0.1 ]]",[ 0.01 -0.03],[nan nan],[ 0.   -0.01],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0022
Dataset 05,23,[nan nan],"[[-0.    0.01]
 [ 0.01  0.01]]",[nan nan],"[[0.   0.01]
 [0.03 0.02]]",[nan nan],"[[-0.01  0.03]
 [ 0.07  0.04]]",[0.02 0.02],[nan nan],[0. 0.],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0023
Dataset 05,24,[nan nan],"[[0.02 0.01]
 [0.01 0.01]]",[nan nan],"[[0.04 0.02]
 [0.02 0.03]]",[nan nan],"[[0.11 0.06]
 [0.04 0.07]]",[ 0.02 -0.03],[nan nan],[ 0.   -0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0024
Dataset 05,25,[nan nan],"[[0.03 0.02]
 [0.01 0.01]]",[nan nan],"[[0.05 0.04]
 [0.02 0.03]]",[nan nan],"[[0.13 0.1 ]
 [0.04 0.06]]",[ 0.01 -0.05],[nan nan],[ 0.   -0.01],[nan nan],[0.01 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0025
Dataset 05,26,[nan nan],"[[-0.01 -0.  ]
 [-0.01  0.01]]",[nan nan],"[[0.02 0.01]
 [0.02 0.02]]",[nan nan],"[[-0.04 -0.02]
 [-0.05  0.04]]",[ 0.03 -0.05],[nan nan],[ 0.01 -0.01],[nan nan],[0.01 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0026
Dataset 05,27,[nan nan],"[[ 0.02  0.02]
 [-0.01  0.01]]",[nan nan],"[[0.05 0.03]
 [0.01 0.03]]",[nan nan],"[[ 0.12  0.09]
 [-0.03  0.07]]",[0.   0.02],[nan nan],[0. 0.],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0027
Dataset 05,28,[nan nan],"[[-0.01  0.01]
 [ 0.02  0.03]]",[nan nan],"[[0.03 0.02]
 [0.05 0.06]]",[nan nan],"[[-0.06  0.05]
 [ 0.12  0.14]]",[0.05 0.  ],[nan nan],[0.01 0.  ],[nan nan],[0.02 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0028
Dataset 05,29,[nan nan],"[[-0.02 -0.01]
 [ 0.01  0.02]]",[nan nan],"[[0.05 0.03]
 [0.03 0.03]]",[nan nan],"[[-0.11 -0.07]
 [ 0.07  0.08]]",[ 0.04 -0.  ],[nan nan],[ 0.01 -0.  ],[nan nan],[0.02 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0029
Dataset 05,30,[nan nan],"[[0.03 0.02]
 [0.02 0.02]]",[nan nan],"[[0.05 0.04]
 [0.05 0.05]]",[nan nan],"[[0.13 0.1 ]
 [0.12 0.12]]",[0.   0.01],[nan nan],[0. 0.],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0030
Dataset 05,31,[nan nan],"[[ 0.02  0.03]
 [-0.    0.01]]",[nan nan],"[[0.04 0.05]
 [0.   0.01]]",[nan nan],"[[ 0.11  0.13]
 [-0.01  0.04]]",[-0.04  0.04],[nan nan],[-0.01  0.01],[nan nan],[0.02 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0031
Dataset 05,32,[nan nan],"[[ 0.02  0.03]
 [ 0.02 -0.02]]",[nan nan],"[[0.04 0.05]
 [0.04 0.03]]",[nan nan],"[[ 0.09  0.13]
 [ 0.11 -0.08]]",[0.04 0.01],[nan nan],[0.01 0.  ],[nan nan],[0.02 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0032
Dataset 05,33,[nan nan],"[[-0.01  0.02]
 [-0.01  0.01]]",[nan nan],"[[0.01 0.04]
 [0.02 0.03]]",[nan nan],"[[-0.03  0.09]
 [-0.06  0.07]]",[0.03 0.02],[nan nan],[0.01 0.  ],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0033
Dataset 05,34,[nan nan],"[[ 0.02 -0.01]
 [-0.01  0.  ]]",[nan nan],"[[0.05 0.02]
 [0.03 0.  ]]",[nan nan],"[[ 0.12 -0.06]
 [-0.07  0.  ]]",[-0.03  0.  ],[nan nan],[-0.01  0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0034
Dataset 05,35,[nan nan],"[[0.01 0.02]
 [0.   0.02]]",[nan nan],"[[0.02 0.03]
 [0.01 0.03]]",[nan nan],"[[0.05 0.08]
 [0.02 0.09]]",[-0.    0.03],[nan nan],[-0.    0.01],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0035
Dataset 05,36,[nan nan],"[[ 0.02 -0.02]
 [ 0.    0.02]]",[nan nan],"[[0.04 0.03]
 [0.01 0.04]]",[nan nan],"[[ 0.1  -0.08]
 [ 0.02  0.11]]",[-0.02  0.01],[nan nan],[-0.  0.],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0036
Dataset 05,37,[nan nan],"[[ 0.01 -0.02]
 [ 0.03  0.02]]",[nan nan],"[[0.02 0.04]
 [0.06 0.03]]",[nan nan],"[[ 0.06 -0.11]
 [ 0.14  0.08]]",[ 0.   -0.04],[nan nan],[ 0.   -0.01],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0037
Dataset 05,38,[nan nan],"[[ 0.02 -0.02]
 [-0.02 -0.  ]]",[nan nan],"[[0.04 0.04]
 [0.03 0.01]]",[nan nan],"[[ 0.09 -0.11]
 [-0.08 -0.02]]",[-0.05 -0.04],[nan nan],[-0.01 -0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0038
Dataset 05,39,[nan nan],"[[-0.01  0.02]
 [ 0.01  0.02]]",[nan nan],"[[0.03 0.04]
 [0.02 0.03]]",[nan nan],"[[-0.06  0.09]
 [ 0.05  0.08]]",[-0.01 -0.  ],[nan nan],[-0. -0.],[nan nan],[0. 0.],[nan nan],0.0,LPE10885_2023_10_20_4_0039
Dataset 05,40,[nan nan],"[[-0.   -0.01]
 [-0.02 -0.02]]",[nan nan],"[[0.   0.02]
 [0.04 0.05]]",[nan nan],"[[-0.01 -0.04]
 [-0.1  -0.11]]",[0.04 0.04],[nan nan],[0.01 0.01],[nan nan],[0.01 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0040
Dataset 05,41,[nan nan],"[[ 0.01  0.01]
 [ 0.   -0.  ]]",[nan nan],"[[0.02 0.02]
 [0.01 0.  ]]",[nan nan],"[[ 0.06  0.05]
 [ 0.02 -0.  ]]",[ 0.   -0.05],[nan nan],[ 0.   -0.01],[nan nan],[0.   0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0041
Dataset 05,42,[nan nan],"[[ 0.    0.  ]
 [-0.    0.02]]",[nan nan],"[[0.01 0.  ]
 [0.01 0.04]]",[nan nan],"[[ 0.01  0.01]
 [-0.02  0.1 ]]",[-0.03 -0.05],[nan nan],[-0.01 -0.01],[nan nan],[0.01 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0042
Dataset 05,43,[nan nan],"[[-0.02  0.03]
 [-0.02 -0.02]]",[nan nan],"[[0.03 0.05]
 [0.05 0.03]]",[nan nan],"[[-0.08  0.13]
 [-0.12 -0.08]]",[0.03 0.  ],[nan nan],[0.01 0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0043
Dataset 05,44,[nan nan],"[[ 0.   -0.01]
 [ 0.02  0.02]]",[nan nan],"[[0.01 0.02]
 [0.04 0.04]]",[nan nan],"[[ 0.02 -0.05]
 [ 0.11  0.1 ]]",[ 0.02 -0.03],[nan nan],[ 0.   -0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0044
Dataset 05,45,[nan nan],"[[-0.01 -0.01]
 [-0.01 -0.01]]",[nan nan],"[[0.02 0.02]
 [0.03 0.03]]",[nan nan],"[[-0.05 -0.06]
 [-0.07 -0.07]]",[0.04 0.04],[nan nan],[0.01 0.01],[nan nan],[0.01 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0045
Dataset 05,46,[nan nan],"[[-0.02  0.02]
 [-0.02  0.01]]",[nan nan],"[[0.05 0.05]
 [0.04 0.02]]",[nan nan],"[[-0.12  0.11]
 [-0.11  0.06]]",[0.01 0.03],[nan nan],[0.   0.01],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0046
Dataset 05,47,[nan nan],"[[-0.02 -0.01]
 [ 0.01  0.  ]]",[nan nan],"[[0.04 0.02]
 [0.02 0.  ]]",[nan nan],"[[-0.11 -0.05]
 [ 0.05  0.  ]]",[ 0.02 -0.05],[nan nan],[ 0.   -0.01],[nan nan],[0.01 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0047
Dataset 05,48,[nan nan],"[[ 0.02  0.03]
 [ 0.01 -0.02]]",[nan nan],"[[0.05 0.05]
 [0.01 0.04]]",[nan nan],"[[ 0.12  0.13]
 [ 0.03 -0.1 ]]",[-0.    0.04],[nan nan],[-0.    0.01],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0048
Dataset 05,49,[nan nan],"[[ 0.01  0.01]
 [-0.01  0.03]]",[nan nan],"[[0.01 0.02]
 [0.02 0.05]]",[nan nan],"[[ 0.03  0.04]
 [-0.06  0.13]]",[0.05 0.03],[nan nan],[0.01 0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0049
Dataset 05,50,[nan nan],"[[0.03 0.01]
 [0.02 0.01]]",[nan nan],"[[0.05 0.02]
 [0.04 0.02]]",[nan nan],"[[0.13 0.04]
 [0.09 0.05]]",[-0.05  0.03],[nan nan],[-0.01  0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0050
Dataset 05,51,[nan nan],"[[ 0.    0.  ]
 [-0.01  0.01]]",[nan nan],"[[0.   0.01]
 [0.01 0.02]]",[nan nan],"[[ 0.    0.01]
 [-0.04  0.05]]",[-0.   -0.01],[nan nan],[-0. -0.],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0051
Dataset 05,52,[nan nan],"[[ 0.01 -0.01]
 [-0.02 -0.01]]",[nan nan],"[[0.02 0.02]
 [0.05 0.02]]",[nan nan],"[[ 0.04 -0.06]
 [-0.12 -0.05]]",[-0.04 -0.01],[nan nan],[-0.01 -0.  ],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0052
Dataset 05,53,[nan nan],"[[ 0.03 -0.02]
 [ 0.    0.01]]",[nan nan],"[[0.05 0.05]
 [0.   0.01]]",[nan nan],"[[ 0.13 -0.12]
 [ 0.01  0.04]]",[-0.03  0.01],[nan nan],[-0.01  0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0053
Dataset 05,54,[nan nan],"[[0.02 0.01]
 [0.02 0.02]]",[nan nan],"[[0.04 0.02]
 [0.05 0.04]]",[nan nan],"[[0.1  0.04]
 [0.11 0.11]]",[0.03 0.02],[nan nan],[0.01 0.  ],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0054
Dataset 05,55,[nan nan],"[[-0.01 -0.01]
 [ 0.01 -0.01]]",[nan nan],"[[0.02 0.02]
 [0.02 0.02]]",[nan nan],"[[-0.05 -0.05]
 [ 0.05 -0.05]]",[0.01 0.04],[nan nan],[0.   0.01],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0055
Dataset 05,56,[nan nan],"[[-0.01  0.01]
 [-0.   -0.01]]",[nan nan],"[[0.02 0.03]
 [0.   0.03]]",[nan nan],"[[-0.05  0.06]
 [-0.01 -0.07]]",[-0.04 -0.04],[nan nan],[-0.01 -0.01],[nan nan],[0.02 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0056
Dataset 05,57,[nan nan],"[[ 0.01  0.02]
 [-0.02 -0.01]]",[nan nan],"[[0.02 0.05]
 [0.04 0.02]]",[nan nan],"[[ 0.04  0.12]
 [-0.11 -0.04]]",[-0.03  0.01],[nan nan],[-0.01  0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0057
Dataset 05,58,[nan nan],"[[ 0.02 -0.01]
 [-0.    0.02]]",[nan nan],"[[0.04 0.03]
 [0.   0.03]]",[nan nan],"[[ 0.1  -0.07]
 [-0.01  0.08]]",[ 0.03 -0.03],[nan nan],[ 0.01 -0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0058
Dataset 05,59,[nan nan],"[[ 0.01 -0.02]
 [-0.   -0.02]]",[nan nan],"[[0.01 0.05]
 [0.   0.03]]",[nan nan],"[[ 0.03 -0.12]
 [-0.01 -0.08]]",[-0.01  0.01],[nan nan],[-0.  0.],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0059
Dataset 05,60,[nan nan],"[[-0.03  0.01]
 [ 0.02  0.  ]]",[nan nan],"[[0.05 0.03]
 [0.03 0.  ]]",[nan nan],"[[-0.13  0.07]
 [ 0.08  0.01]]",[ 0.04 -0.01],[nan nan],[ 0.01 -0.  ],[nan nan],[0.02 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0060
Dataset 05,61,[nan nan],"[[ 0.02  0.01]
 [ 0.01 -0.02]]",[nan nan],"[[0.03 0.02]
 [0.02 0.04]]",[nan nan],"[[ 0.08  0.04]
 [ 0.06 -0.1 ]]",[-0.04  0.03],[nan nan],[-0.01  0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0061
Dataset 05,62,[nan nan],"[[ 0.02 -0.01]
 [-0.02 -0.02]]",[nan nan],"[[0.04 0.03]
 [0.03 0.04]]",[nan nan],"[[ 0.09 -0.06]
 [-0.08 -0.1 ]]",[ 0.02 -0.03],[nan nan],[ 0.   -0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0062
Dataset 05,63,[nan nan],"[[-0.01  0.02]
 [-0.03  0.02]]",[nan nan],"[[0.03 0.04]
 [0.05 0.05]]",[nan nan],"[[-0.07  0.09]
 [-0.13  0.12]]",[-0.05  0.04],[nan nan],[-0.01  0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0063
Dataset 05,64,[nan nan],"[[ 0.03 -0.  ]
 [ 0.02 -0.02]]",[nan nan],"[[0.05 0.01]
 [0.03 0.03]]",[nan nan],"[[ 0.13 -0.01]
 [ 0.08 -0.08]]",[0.   0.02],[nan nan],[0. 0.],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0064
Dataset 05,65,[nan nan],"[[0.02 0.02]
 [0.   0.02]]",[nan nan],"[[0.04 0.04]
 [0.01 0.03]]",[nan nan],"[[0.09 0.09]
 [0.02 0.08]]",[0.02 0.01],[nan nan],[0. 0.],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0065
Dataset 05,66,[nan nan],"[[-0.03 -0.02]
 [ 0.02  0.02]]",[nan nan],"[[0.05 0.04]
 [0.03 0.03]]",[nan nan],"[[-0.13 -0.1 ]
 [ 0.08  0.08]]",[-0.03  0.  ],[nan nan],[-0.01  0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0066
Dataset 05,67,[nan nan],"[[0.   0.02]
 [0.01 0.02]]",[nan nan],"[[0.   0.03]
 [0.02 0.04]]",[nan nan],"[[0.   0.09]
 [0.05 0.09]]",[-0.01 -0.01],[nan nan],[-0. -0.],[nan nan],[0. 0.],[nan nan],0.0,LPE10885_2023_10_20_4_0067
Dataset 05,68,[nan nan],"[[ 0.   -0.01]
 [ 0.03 -0.02]]",[nan nan],"[[0.01 0.01]
 [0.05 0.05]]",[nan nan],"[[ 0.01 -0.04]
 [ 0.14 -0.11]]",[-0.02 -0.01],[nan nan],[-0. -0.],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0068
Dataset 05,69,[nan nan],"[[ 0.01  0.02]
 [-0.01 -0.03]]",[nan nan],"[[0.02 0.05]
 [0.01 0.05]]",[nan nan],"[[ 0.04  0.12]
 [-0.03 -0.13]]",[0.01 0.04],[nan nan],[0.   0.01],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0069
Dataset 05,70,[nan nan],"[[-0.02 -0.02]
 [ 0.02  0.01]]",[nan nan],"[[0.04 0.05]
 [0.05 0.02]]",[nan nan],"[[-0.11 -0.12]
 [ 0.11  0.05]]",[-0.03 -0.  ],[nan nan],[-0.01 -0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0070
Dataset 05,71,[nan nan],"[[-0.03  0.01]
 [ 0.01 -0.01]]",[nan nan],"[[0.05 0.03]
 [0.01 0.02]]",[nan nan],"[[-0.13  0.07]
 [ 0.03 -0.06]]",[-0.   -0.01],[nan nan],[-0. -0.],[nan nan],[0. 0.],[nan nan],0.0,LPE10885_2023_10_20_4_0071
Dataset 05,72,[nan nan],"[[ 0.01  0.03]
 [-0.03 -0.01]]",[nan nan],"[[0.03 0.05]
 [0.05 0.02]]",[nan nan],"[[ 0.06  0.13]
 [-0.13 -0.04]]",[ 0.04 -0.03],[nan nan],[ 0.01 -0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0072
Dataset 05,73,[nan nan],"[[ 0.01  0.01]
 [-0.01 -0.01]]",[nan nan],"[[0.02 0.03]
 [0.03 0.01]]",[nan nan],"[[ 0.06  0.07]
 [-0.07 -0.03]]",[0.04 0.05],[nan nan],[0.01 0.01],[nan nan],[0.02 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0073
Dataset 05,74,[nan nan],"[[-0.02 -0.02]
 [-0.03 -0.  ]]",[nan nan],"[[0.05 0.04]
 [0.05 0.01]]",[nan nan],"[[-0.12 -0.09]
 [-0.13 -0.01]]",[-0.05  0.03],[nan nan],[-0.01  0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0074
Dataset 05,75,[nan nan],"[[-0.01  0.01]
 [-0.02 -0.02]]",[nan nan],"[[0.02 0.02]
 [0.04 0.04]]",[nan nan],"[[-0.05  0.06]
 [-0.09 -0.11]]",[ 0.01 -0.04],[nan nan],[ 0.   -0.01],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0075
Dataset 05,76,[nan nan],"[[ 0.01  0.01]
 [-0.01 -0.01]]",[nan nan],"[[0.01 0.02]
 [0.02 0.01]]",[nan nan],"[[ 0.03  0.05]
 [-0.05 -0.03]]",[-0.03  0.02],[nan nan],[-0.01  0.  ],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0076
Dataset 05,77,[nan nan],"[[-0.02 -0.01]
 [-0.02  0.  ]]",[nan nan],"[[0.04 0.03]
 [0.03 0.  ]]",[nan nan],"[[-0.1  -0.07]
 [-0.08  0.01]]",[ 0.01 -0.  ],[nan nan],[ 0. -0.],[nan nan],[0. 0.],[nan nan],0.0,LPE10885_2023_10_20_4_0077
Dataset 05,78,[nan nan],"[[-0.01 -0.01]
 [-0.01 -0.02]]",[nan nan],"[[0.01 0.02]
 [0.01 0.04]]",[nan nan],"[[-0.03 -0.06]
 [-0.04 -0.09]]",[0.01 0.  ],[nan nan],[0. 0.],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0078
