,model,key,neuron,split,cor
68,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,22,Test,0.08116936573387583
69,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,23,Train,0.12649522771598495
70,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,23,Val,0.15409174347282423
71,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,23,Test,0.14880740366472917
72,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,24,Train,0.17479156756598616
73,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,24,Val,0.17176317549127976
74,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,24,Test,0.14577852878988445
75,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,25,Train,0.10150460900484407
76,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,25,Val,0.10498168265312804
77,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,25,Test,0.029632579965820208
78,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,26,Train,0.15217173196197709
79,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,26,Val,0.15990754048146044
80,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,26,Test,0.21768996659327466
81,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,27,Train,0.11956533714784084
82,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,27,Val,0.10546026296247199
83,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,27,Test,0.15922643488309796
84,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,28,Train,0.11893656547559663
85,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,28,Val,0.16833398632193589
86,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,28,Test,0.11440236248765055
87,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,29,Train,-0.0221994037132822
88,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,29,Val,-0.05715210202289096
89,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,29,Test,-0.0675144714727788
90,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,30,Train,0.09635486064712011
91,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,30,Val,0.16315244497827594
92,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,30,Test,0.16615856215348435
93,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,31,Train,-0.0570593428577361
94,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,31,Val,-0.011425916150308375
95,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,31,Test,-0.020808679254170678
96,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,32,Train,0.013143511830814157
97,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,32,Val,0.09677886587255202
98,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,32,Test,0.07079020021746159
99,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,33,Train,0.03297308760493203
100,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,33,Val,0.08409586106211309
101,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,33,Test,-0.022291636295322204
102,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,34,Train,0.060577027860286306
103,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,34,Val,0.12965739358301498
104,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,34,Test,0.11199034591013014
105,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,35,Train,-0.02656280329666531
106,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,35,Val,0.007601616150547865
107,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,35,Test,-0.04688303880062254
108,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,36,Train,-0.0175407065022962
109,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,36,Val,0.025803941672238147
110,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,36,Test,-0.10759323302006454
111,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,37,Train,0.12303328434342764
112,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,37,Val,0.18898586167109502
113,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,37,Test,0.13969684401069793
114,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,38,Train,-0.03917456654699858
115,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,38,Val,-0.08989911621189466
116,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,38,Test,-0.03499047066742921
117,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,39,Train,-0.0468153135309261
118,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,39,Val,0.030776347181662892
119,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,39,Test,-0.07951552725919986
120,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,40,Train,-0.06766932850588214
121,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,40,Val,-0.0759991251786491
122,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,40,Test,-0.09034384385453258
123,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,41,Train,-0.1090845429702498
124,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,41,Val,-0.15423708944653117
125,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,41,Test,-0.10516943237703787
126,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,42,Train,0.12177154051087546
127,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,42,Val,0.014934039525380633
128,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,42,Test,0.02304841219580045
129,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,43,Train,-0.16313940455436576
130,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,43,Val,-0.21315189983543825
131,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,43,Test,-0.15698456427133617
132,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,44,Train,0.23583948276788555
133,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,44,Val,0.21547380702390673
134,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,44,Test,0.24634203068624794
135,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,45,Train,-0.06145270417739432
136,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,45,Val,-0.04371393483181934
137,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,45,Test,-0.11976645497896075
138,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,46,Train,-0.028115719972351284
139,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,46,Val,-0.06302560339491593
140,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,46,Test,-0.022031340529565086
141,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,47,Train,0.02690426788597644
142,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,47,Val,0.0664903812434081
143,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,47,Test,0.028869883757402768
144,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,48,Train,0.045456223561185914
145,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,48,Val,0.09843540787982702
146,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,48,Test,0.03150123925479198
147,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,49,Train,0.13783257622359088
148,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,49,Val,0.12553108004007243
149,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,49,Test,0.16466343202374112
150,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,50,Train,-0.2952614682944722
151,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,50,Val,-0.28005737601276964
152,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,50,Test,-0.2809322804823172
153,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,51,Train,0.08014967031115658
154,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,51,Val,0.12737400301305682
155,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,51,Test,0.12344972443082348
156,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,52,Train,-0.06738426971588114
157,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,52,Val,-0.10932266814917986
158,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,52,Test,-0.00755251979363025
159,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,53,Train,-0.1481850395058964
160,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,53,Val,-0.16877239320493856
161,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,53,Test,-0.106697040618394
162,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,54,Train,0.21188601079624583
163,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,54,Val,0.26604364732959684
164,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,54,Test,0.10404910341544843
165,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,55,Train,0.07089022732404342
166,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,55,Val,0.08037402445058713
167,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,55,Test,0.1076005096444463
168,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,56,Train,0.01447796395582042
169,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,56,Val,0.00044047030034394637
170,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,56,Test,0.0067623850340353805
171,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,57,Train,0.04183536177436813
172,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,57,Val,0.05730788834926816
173,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,57,Test,0.007516438308275653
174,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,58,Train,-0.09947665132204275
175,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,58,Val,-0.01251705518450662
176,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,58,Test,-0.03778991831617279
177,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,59,Train,-0.0386949581985131
178,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,59,Val,-0.10657192171450643
179,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,59,Test,-0.03070551361401274
